Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,PYTHON_NEURAL_NET,100,57874.698,2.1552,11146.8187,0.4151,69021.5167,2.5703,36453.2815,10.0229,179240.2988,49.2825,215693.5802,59.3054,9.3377,29800,26061,0,3637,0,102,0,3959,3113,3865,3610,21976,19338,87.45302013422818,322519.69999995653,181759.5279999996,322519.69999995653,103438.10000004721,0.0,0.0,23.44810223471984,60.9402,15.0863,6.5115,65.333,286.5466,2.729,1.5276,1.5276,1.3051,0.3263,283.7139,2.8371,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,120,59115.1078,2.032,16791.5911,0.5772,75906.6989,2.6092,66113.1623,9.079,483531.7553,66.401,549644.9176,75.4799,17.1978,35700,28243,21,7282,0,154,0,5684,3260,3743,3498,26252,21485,79.11204481792717,521449.1679999665,341238.8280000002,521449.1679999665,125037.20000005701,0.0,0.0,23.455501509940326,59.3428,13.7776,4.5819,63.0179,342.2954,2.7384,1.683,1.683,1.1218,0.2805,339.4906,2.8291,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,140,64305.4722,1.9356,14852.6401,0.4471,79158.1122,2.3826,122970.3662,13.2754,1313584.3561,141.8098,1436554.7223,155.0853,35.6756,41700,32317,0,9263,0,120,0,4082,2804,5133,4628,32485,24885,77.49880095923261,437547.5039998662,260522.5720000001,437547.5039998662,115026.3500000808,0.0,0.0,26.12164985730115,56.0878,8.9498,5.8421,59.0417,370.1891,2.553,1.0835,1.0835,1.4237,0.3559,367.6819,2.6263,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,160,66804.2784,1.6892,2170.0763,0.0549,68974.3547,1.744,148010.7573,16.9582,1759511.4673,201.5939,1907522.2246,218.552,40.9407,47600,38590,0,8728,0,282,0,1205,1177,1240,1198,45155,36215,81.07142857142857,166117.5079999946,51028.44000000001,166117.5079999946,133826.50000007564,0.0,0.0,23.399762043596194,67.802,2.653,1.3068,71.2513,418.1125,2.534,0.3233,0.3233,0.3244,0.0811,417.4649,2.6092,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,180,114938.9634,2.2997,4938.3985,0.0988,119877.3619,2.3985,39442.5419,7.6916,6401.8229,1.2484,45844.3648,8.94,3.0072,53600,47957,0,5128,0,515,0,1363,1322,1292,1256,50945,45379,89.47201492537313,277080.6999999676,76558.60000000006,277080.6999999676,224946.5999998016,0.0,0.0,17.99939479966993,95.7345,7.0936,3.4716,99.9724,504.9888,2.7297,0.3204,0.3204,0.3163,0.0791,504.3521,2.802,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,200,120296.1478,2.1769,13381.8517,0.2422,133677.9994,2.419,35541.9463,5.9118,18102.232,3.011,53644.1783,8.9229,3.0572,59500,53004,0,6012,0,484,0,4663,3454,2193,2122,52644,47428,89.08235294117647,839742.2879999129,423857.28800000006,839742.2879999129,255395.54999972892,0.0,0.0,16.869777690553327,96.4037,27.355,5.9876,99.9929,583.9184,2.8484,1.2591,1.2591,0.547,0.1367,582.1123,2.9106,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,100,49106.7725,1.7362,12989.7544,0.4593,62096.5269,2.1955,13921.2963,6.7645,32248.6648,15.6699,46169.9611,22.4344,3.5682,29800,27701,0,2058,0,41,0,4647,3962,8035,7576,17118,16163,92.95637583892618,430560.0559999588,200832.95200000063,430560.0559999588,115725.90000004247,0.0,0.0,18.945593840229446,63.0985,45.7035,37.0639,65.124,324.8117,3.0934,2.1023,2.1023,3.3921,0.848,319.3173,3.1932,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,120,62923.7331,1.8852,23875.5458,0.7153,86799.2789,2.6005,15221.1082,5.1949,27309.6977,9.3207,42530.8059,14.5156,3.562,35700,32688,0,2930,0,82,0,5082,4030,8254,7406,22364,21252,91.56302521008404,575254.7479999253,279710.2639999993,575254.7479999253,140130.20000003828,0.0,0.0,20.172078309174104,70.0919,52.2442,44.2158,71.7773,395.0272,3.1602,2.4106,2.4106,4.1025,1.0256,388.5141,3.2376,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,140,69804.9231,1.823,24259.5342,0.6335,94064.4573,2.4565,36505.1572,8.7668,121327.1551,29.1372,157832.3124,37.904,5.9331,41700,37488,0,4164,0,48,0,5773,4470,9578,8731,26349,24287,89.89928057553956,715520.8359999226,353799.5599999992,715520.8359999226,146418.90000003335,0.0,0.0,19.01375146834118,67.135,51.0712,39.9448,68.621,432.9852,2.9861,2.6009,2.6009,4.0592,1.0148,426.3251,3.0452,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,160,74303.5353,1.7382,35177.5804,0.8229,109481.1157,2.5611,40767.3731,7.0495,166843.109,28.8506,207610.482,35.9001,6.5339,47600,41748,0,5783,0,69,0,6362,4288,9998,8654,31240,28806,87.70588235294117,869563.8439998953,447161.091999999,869563.8439998953,176527.5499999782,0.0,0.0,20.213226883607657,72.8763,63.42,45.1886,74.1285,508.036,3.079,3.1584,3.1584,4.4519,1.113,500.4256,3.1277,0,0,0,-1.0,[],[]
